ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1895,15087030,SHISHIMANA ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1666667,-71.3,15/10/1972,15/05/1982
1896,15087040,WATCASAINRU ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1666667,-71.283333,15/11/1972,15/12/1984
1897,15087050,NAZARETH ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1833333,-71.3,15/11/1972,15/02/1981
1898,15087060,ALJIBE SANTA CRUZ ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.2166667,-71.333333,15/03/1975,15/02/1981
1899,15087070,ANUHAPA ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.2,-71.316667,15/03/1975,15/06/1976
1900,15087080,PARAGUACHON    ,LG,HID,CON,ACT,LA GUAJIRA,MAICAO,11.3601389,-72.132444,15/02/1989,
1901,15087090,CHINGOLITA LA ,LM,HID,CON,SUS,LA GUAJIRA,MAICAO,11.2980556,-72.191389,15/07/1992,15/10/2010
1902,23195140,LLANA LA ,CO,MET,CON,SUS,CESAR,SAN ALBERTO,7.7333333,-73.533333,15/09/1974,15/05/1995
1903,23210140,MATA LA ,PM,MET,CON,SUS,CESAR,LA GLORIA,8.6144444,-73.636389,15/10/1973,15/09/1983
1904,23210150,AGUAS CLARAS D C ,PM,MET,CON,SUS,CESAR,AGUACHICA,8.3,-73.616667,15/11/1979,15/07/1981
1905,23215040,BELLA CRUZ ,CO,MET,CON,SUS,CESAR,LA GLORIA,8.6333333,-73.633333,15/10/1974,15/09/1983
1906,23215060,GLORIA LA ,CO,MET,CON,SUS,CESAR,LA GLORIA,8.6138333,-73.801639,15/09/1983,15/05/1995
1907,23217040,AGUAS CLARAS ,LM,HID,CON,SUS,CESAR,AGUACHICA,8.2666667,-73.6,15/04/1987,15/03/1995
1908,25020090,TAMALAMEQUE ,PM,MET,CON,ACT,CESAR,TAMALAMEQUE,8.8603889,-73.815444,15/02/1960,
1909,25020180,GLORIA LA ,PM,MET,CON,SUS,CESAR,LA GLORIA,8.6138333,-73.801639,15/02/1960,15/09/1983
1910,25020200,PAILITAS ,PM,MET,CON,SUS,CESAR,PAILITAS,8.95,-73.633333,15/02/1960,15/05/1989
1911,25020210,CHIRIGUANA ,PM,MET,CON,SUS,CESAR,CHIRIGUANÁ,9.3610278,-73.593389,15/03/1962,15/06/1973
1912,25020220,ASTREA ,PM,MET,CON,ACT,CESAR,ASTREA,9.4929444,-73.972889,15/04/1962,
1913,25020230,JAGUA LA   ,PM,MET,CON,ACT,CESAR,LA JAGUA DE IBIRICO,9.5621667,-73.339472,15/08/1963,
1914,25020240,CANAL EL ,PM,MET,CON,ACT,CESAR,CHIMICHAGUA,9.4104722,-73.890417,15/03/1963,
1915,25020250,CURUMANI    ,PM,MET,CON,ACT,CESAR,CURUMANÍ,9.1971944,-73.541944,15/03/1963,
1916,25020260,RINCONHONDO   ,PM,MET,CON,ACT,CESAR,CHIRIGUANÁ,9.3970278,-73.488028,15/03/1963,
1917,25020270,SALOA    ,PM,MET,CON,ACT,CESAR,CHIMICHAGUA,9.1931667,-73.731306,15/04/1963,
1918,25020280,LOMA LA ,PM,MET,CON,ACT,CESAR,EL PASO,9.6065278,-73.611972,15/10/1963,
1919,25020650,TERROR EL HDA ,PM,MET,CON,ACT,CESAR,CHIMICHAGUA,8.9387778,-73.560222,15/09/1972,
1920,25020660,ZAPATOZA ,PM,MET,CON,ACT,CESAR,CURUMANÍ,9.00975,-73.754028,15/09/1972,
1921,25020670,RAYA LA ,PM,MET,CON,ACT,CESAR,PAILITAS,9.0502778,-73.559722,15/09/1972,
1922,25020690,POPONTE ,PM,MET,CON,ACT,CESAR,CURUMANÍ,9.4232778,-73.410944,15/09/1972,
1923,25020920,PRIMAVERA LA ,PM,MET,CON,ACT,CESAR,CURUMANÍ,9.2166667,-73.416667,15/09/1972,
1924,25021040,MENCHIQUEJO ,PM,MET,CON,ACT,MAGDALENA,EL BANCO,9.1880556,-74.044222,15/09/1974,
1925,25021190,MECHA LA   ,PM,MET,CON,ACT,MAGDALENA,SANTA BÁRBARA DE ,9.6229444,-74.595639,15/10/1976,
